name,hex
Honeydew Melon,#67C9BB
Dull Olive Green,#6C6C41
Deep Indigo,#531F99
Midnight Brown,#321D1C
Dandelion,#D0C834
Dark Navy Blue,#3F436B
Indigo Cobalt,#1376C9
Deep Magenta,#A216F4
Cobalt Blue,#0065EE
Green (15F31A specific shade: Lime Green),#15F31A
Hokule'a Blue (approximate name),#3790D2
Sage Green,#20760A
Deep Brown Oak,#3E3309
Sage Green,#89D115
#73ED76 (Greenish Cyan),#73ED76
Teal3DCA98,#3DCA98
Green (specifically #4FC428),#4FC428
#17F91E (Greenish Yellow),#17F91E
Deep Raspberry,#A51E76
Scarlet Red,#EF2742
Dark Forest Green,#20582A
Plum Purple,#B542DC
Saffron Green,#AEF945
Emerald Green,#07AD2B
Light Cyan,#BADFE4
Turquoise (teal),#2ABCD4
Green-Blue (Sage Green),#488A43
Teal Blue (or Aquamarine),#2DAAB3
Fuchsia Rose,#F5B1B8
Medium Purple-Pink,#983CE0
Plum Wine,#BD939C
Maroonish Red (Approximate),#A21151
Lime Green,#64ED18
Maroon 95 (approximate name),#9D0235
Forest Green,#497537
Sapphire Green,#46CD99
Chestnut Brown,#61490D
Medium Purple-Pink,#AA6BCA
Gold Yellow,#C1B930
Dark plum gray,#75545E
Medium Magenta,#C508AA
Cobalt Blue,#1C89FC
Deep Indigo,#1C039B
Maroon,#864948
Fuchsia Violet (Magenta-Purple),#BF57F4
Fuchsia Magenta,#E11BE3
Golden Brown,#B3AD26
Medium Purple-Red,#C72D96
Greenish Blue (Sometimes called Acid Lime),#70B161
Indigo,#5369B6
Aqua Teal,#8DA7A0
Sage Green,#A1EB7C
Dusky Rose,#EEA592
#248BC4 (Sapphire Blue),#248BC4
Indigo (Dark),#315D90
Slate Gray,#817B7D
Sandstone,#FDF1B1
Sage Green #4E6D60,#4E6D60
Sapphire Teal,#A3CFCA
Deep Cyan,#3340E4
#44FB55 (Green Cyan),#44FB55
Chestnut Brown,#816E6A
Teal Green,#3A807D
Cobalt Blue,#1169D9
#2344E2 (Dark Cobalt Blue),#2344E2
Deep Cobalt Blue,#4E62C8
Pale Cornflower Blue,#94C6DC
Indigo (Dark),#4361A1
Cobalt Blue,#086BF3
"Green (specifically, Cyans)",#3EEF54
Firebrick,#FE4212
Greeny Cyans (or Slightly Yellowish Cyan),#8BEF90
Flame Gold,#FDC364
Maroon-Brown (Sienna Brown),#8C0E06
Emerald Green,#599A60
Teal Hexadeçimal #26A69D,#26A69D
Dark Forest Green,#05270C
Dark Purple (Dusky Plum),#3A0B1E
E694BB,#E694BB
Dark Ash Grey,#859692
Indigo,#1D135B
Dark Purple,#672C3B
Sapphire Blue,#116BD4
Burgundy,#CA2E12
Deep Purple #6F5B72,#6F5B72
Aquamarine,#65BDDD
Green (#17E470 specifically is a shade of Lime Green),#17E470
Dark Forest Green,#00073F
Sapphire Blue,#B0D3F9
F5CAC7 (Lavender Blush),#F5CAC7
Deep Lavender Magenta,#C679F6
Dark Olive Green,#6B705F
Burnt Sienna,#A24E3A
Green #1EF459 (Hexadecimal Green),#1EF459
Sage Green,#79BC56
Sage Green,#0B7A4A
Chestnut Brown,#86775F
#707E77 (Grayish Blue),#707E77
Saddle Brown,#A05A44
Greenish-Yellow,#30DE4C
Maroon 5,#932450
Sapphire Blue,#3F62F0
Deep Rose,#CC318F
Maroon Garnet,#5E0C38
Medium Purple-Lavender,#805CE1
Bordeaux,#7B1643
Dark Brownish Red,#531F14
Lime Green,#51EB1E
Sage Green #96E2AA,#96E2AA
Wine Red or Raspberry,#B348B8
Medium Purple (Dark Lilac),#6E4F83
Emerald Green,#2FAA71
Burnt Sienna,#B57C08
BD9EFB (Periwinkle Blue),#BD9EFB
Burgundy Red,#870E44
Fuschia Mauve,#9A0FFC
Lime Green,#76BF03
Golden Brown,#BE9139
Chestnut,#9B6559
Sage Greenish-Blue,#A1FBA5
Sage Green,#CFED9D
Deep Purple #681BD6,#681BD6
#109FA1 (Teal),#109FA1
Teal Green #0DA23E,#0DA23E
Deep Purple #660097,#660097
Sage Green,#9CB6A7
Teal,#4AA2AF
Lime Green (Spring Green),#68DC42
Lime Green,#08DD70
Cerulean Blue,#5CE0EA
Greeny Cyan,#8AE50D
Indigo Deep,#23053D
Seafoam Green,#0EAD8C
EC423F (Electric Red),#EC423F
Cornflower Blue,#229AFC
Deep Cobalt,#4E3CE7
Teal Blue,#128DBB
Fuchsia Magenta,#EB1EEB
Sage Green,#6CBA4D
Medium Cyan (#3E4FF1),#3E4FF1
#217EC5 (Hexadecimal) or Medium Cyan (HTML color name),#217EC5
Teal Blue (Cyan-Greenish),#19BBAE
Indigo Deep,#532D97
Indigo (Dark),#4A688D
#FBC8F2 (Light Magenta),#FBC8F2
Lime Green,#3EEE57
Forest Green,#0B3724
Navy Blue,#112373
Dark Sage Green,#758063
Burnt Sienna,#C37640
Burnt Sienna,#B66925
Marine Blue (Dark),#022D97
Purple-Plum,#B01BDE
Dark Charcoal Gray,#545757
Sapphire Blue,#47C3C2
Lime Green,#0CD433
Indigo Cobalt,#3933C4
Aqua Turquoise,#A7F1D6
Tawny Beige,#C6B59F
Lime Green,#1BD450
Dodecahex Blue (specific shade of blue),#386DD8
Lime Green,#A6CD2A
Indigo (Dark),#0537F1
Burgundy,#2E0842
Deep Purple,#513083
Greenish Sapphire,#64B65A
E71F46,#E71F46
Sage Green,#3C9B9C
F8BBE2,#F8BBE2
Sapphire Blue,#3296B7
#5AFAEC (Hexadecimal) or Light Cyan (Common Name),#5AFAEC
Deep Raspberry,#D81896
Indigo,#102F6B
Dark Teal,#025051
Dusky Rose,#D74194
Marigold Orange,#E93208
#9ABAF6 (Light Cyan),#9ABAF6
Dark Walnut Brown,#453E2A
Brownish Maroon,#8A5C2D
Dark Indigo,#564291
Indigo Violet,#9591E1
Dark Olive Green,#686E44
Greenish-Yellow (Lime Green),#28DA19
Sage Green,#86F511
Sage Green #37E6BD,#37E6BD
Deep Plum,#AB1089
#0C700D (Hex Code) or Forest Green (Common Name),#0C700D
Dandelion Yellow,#D1B15E
Saffron,#BAD673
Burnt Sienna,#A57304
Seafoam Green,#7BADA6
Sage Seafoam,#A2E9E3
Medium Cyan-Purple,#5B5ECA
Green Sea (Verdigris),#2E834F
Sea Green,#74CEA4
Indigo,#2B7FBC
Sapphire Blue-Green,#B0FFE5
Golden Harvest,#E8E469
Sapphire Blue,#7193BB
Sapphire Blue,#7390EB
Cyansky,#27E2B5
Green 19-7810 (Pantone reference for #78C019),#78C019
Sapphire Blue,#76F1D5
Fuchsia Rose,#FD2281
Deep Purple #846397,#846397
FADCDE,#FADCDE
Medium Purple,#A658A0
Cyan teal,#09DDEF
Sagey Greenish Yellow,#C7FA6F
Mars Brown,#906942
Plum Magenta,#AF0CDE
Burgundy Wine,#72384B
Teal (Turquoise-Blue),#25ADD1
Indigo (#6971DF is a specific shade of indigo),#6971DF
E06314,#E06314
Lime Green,#32AD22
Maroon Wine,#5C3744
Indigo4749F2,#4749F2
Saffron Brown,#9A5322
EC7EB6 (Electric Violet),#EC7EB6
Sage Green,#50B65C
Sienna Brown,#8B2520
Dark Blue-Navy,#1F3880
Fuchsia Rose,#F7A0DB
Ecstatic Red,#EC5066
Green-Teal,#297319
Mediterranean Blue,#6F98B5
Medium Purple (Plum),#B858D7
Burgundy Wine,#420903
Sage Green,#9BA16E
Cyan (Sky Blue),#B9E8F6
Indigo Deep,#4626D0
Sage Greenish Yellow,#B8C34B
Dark Ash Grey,#46443D
Dark Teal,#004448
Deep Sapphire Blue,#0A089C
DDCF9B,#DDCF9B
Copper Brown,#916C00
Deep Cobalt Blue,#0E21F2
Gold (Metallic),#ACB621
Fuchsia Magenta,#E70FBC
Maroon Red (#770C71),#770C71
Medium Purple (E8C0FF),#E8C0FF
Dusky Rose,#D26E62
Dark Teal,#5A7A9A
Forest Brown,#5A3F1E
Indigo Deep,#50049D
Purple-Redish Violet,#A079D0
Teal Green #74B290,#74B290
Indigo Deep,#292C9E
Green Sea (#07BC41),#07BC41
Dark Cobalt Blue,#0711AC
Wine Red,#D02B5C
Minty Lime,#9CFE97
F2CDCB (Pale Lavender Pink),#F2CDCB
Burnt Sienna,#A17178
Green Yellow,#81FFA2
Aquamarine Shade,#1DDDDA
#05F2D9 (Teal Aqua),#05F2D9
Forest Green,#264D1D
#104A63 (Dark Slate Blue),#104A63
Lime Green,#9BFF04
Saddle Brown,#826B34
Faded Peach,#FDDEC7
Indigo (Deep),#241FB6
Sage Green,#B6F0C9
Indigo Blue (Dark),#4B53BF
Marigold Orange,#E24E2B
Emerald Green,#5CF877
Burnt Sienna,#B17380
Sage Green,#0B4F03
Dark Plum,#9C3288
Greenish-Blue (Sage Green or Turquoise),#2F9312
Deep Navy Blue,#051161
Sea Green,#8CCDD2
Huskypinkish Cyan,#6C94D5
Indigo (Dark),#2700B0
Dark Wine Red,#5B2A31
Sea Green,#A6D3BE
Fuchsia Magenta,#FC18AB
Deep Wisteria,#6D43F3
Deep Purple,#D616E8
C93F3D,#C93F3D
Maroon,#A0517A
Light Silver,#F3F7E8
Fuchsia Magenta,#FF81E0
Tealish Cyan,#5AE7DD
#1ADB88 (Hexadecimal) or Green Sea (Common name),#1ADB88
Warm Brownish Beige,#948069
Lime Green,#12EF08
Deep Lavender Magenta,#7E15F8
C7A4A3 (Rose Dusk),#C7A4A3
Deep Indigo,#2F05C2
Marigold Orange,#EE918E
Wisteria,#F029A9
#D724C4 (Deep Raspberry),#D724C4
#18C060 (Hexadecimal Green),#18C060
Turquoise (Cyan),#45CEF5
Indigo (Dark),#284BE3
Cyan Teal,#61D5FA
Plum Magenta,#BF0F98
Tangerine Orange,#F48F53
"Cyansky Blue (made up name, as the exact name isn't standardized)",#27FBCE
#1E54E2 (Hex Code),#1E54E2
Daisy Yellow,#D6F0CE
Medium Purple-Blue,#987BFB
Sea Green,#05FBAE
Dandelion Yellow,#D1C358
Coral Orange,#F7A047
Medium Cyan,#1C39F4
Medium Purple,#CC3F9E
Maroon,#603B31
Navy Blue (Dark Cerulean),#1266DC
Pastel Lavender,#ADD5B6
Deep Teal,#0A5A82
Raspberry Rose,#EC0E76
Indigo (Dark),#7536D1
Gold Ochre,#D6B72B
Forest Green,#476102
Aquamarine,#0EC6C0
Deep Indigo,#4B3870
Light Cyan,#929AE0
Mauve Rose,#A56F7D
Greenish-Blue,#50921C
Medium Purple,#63347E
Indigo (Dark),#452BD6
Ash Grayish Brown,#585950
Deep Purple,#8E0A4E
Green-Yellow (Kelly green),#92C83A
Lime Green,#03A32A
Wine Red,#9E0277
Sage Green #069E2C,#069E2C
Sage Green,#4E6301
Medium Purple-Lavender,#966CD2
Sage Green,#80DD6A
"Indigo (Technically, this hex code #60A6E1 is a shade of blue-purple.)",#60A6E1
Green Sea,#7BA013
Teal Green,#307C62
Wine Red,#87316E
Cyanish Violet,#CCA5FC
Fuchsia Rose,#F33973
#28D2B6 (Hexadecimal) or Medium Spring Green (HTML color name),#28D2B6
Sage Green,#A1F9B6
Medium Purple,#AD5A86
Sage Green,#D0FD91
Light Salmon Pink,#CA74AC
Purple-Red (Dull Plum),#8C3092
Gold (Metallic),#FEC801
D7D3AC,#D7D3AC
Forest Green,#56764E
Plum Purple,#DC9BE3
Greenish Yellow,#B2C44C
Gold Ochre,#D9BF4F
Scarlet Red,#E20919
#F58A2D (Hexadecimal) or Orange-Red,#F58A2D
Fuchsia Purple,#9F48EA
Pumpkin Orange,#D73400
Deep Purple,#482396
Lime Green,#CBF529
CAB402,#CAB402
Lime Green,#96CA17
Deep Purple #5619E7,#5619E7
Indigo (Deep),#3815B3
D486F6 (Plum Purple),#D486F6
Light Cool Grayish Cyan,#DADDFD
#0E8778 (Dark Sea Green),#0E8778
Tuscan Red,#DA3F84
Sage Green,#7C955A
Indigo (Dark),#3037BA
Sage Green #04A56C,#04A56C
#EDFEAC (Eastern Dawn),#EDFEAC
Aquamarine,#0BF8E7
Green Olive,#2F5510
Sage Green,#8ED338
Sage Green,#23953C
Deep Sapphire Blue,#0A4DB5
Dark Forest Green,#2F4E4D
#477091 (Hexadecimal) or Dark Teal (Common name),#477091
Burnt Sienna,#E1914C
Dark Teal,#13534C
Forest Green,#5D763E
E684B8 (Purple-Rose),#E684B8
Deep Raspberry,#DE3394
Burnt Sienna,#A7691D
Sapphire Blue,#4F80CF
Sapphire Blue,#0252A3
Deep Purple,#80379A
Maroonish Brown,#5E2A23
Fuchsia Rose,#E81AE6
Dark Burgundy,#6F0165
Sage Green,#839E49
Cobalt Blue,#148CD2
Dusky Lavender,#D59EFA
Medium Cyan-Blue,#9B9CAB
Teal Blue,#0AB5D0
Green (Hexadecimal #16B96B),#16B96B
Medium Purple-Red,#BE49D8
#B3F159 (Lime Green),#B3F159
"Indigo Cobalt (or simply, Cobalt Blue)",#4A6BC2
Green Turquoise,#5FC205
Maroon Brown,#582D09
Light Cyan,#94A6F9
Plum Purple,#AC979F
Green (Lime Green),#1BB826
Silver-Blue,#92C7C7
Sage Green (Emerald Green #33EB0F is a shade more vibrant),#33EB0F
Split Complementary #C3F21E,#C3F21E
EFF9DC (Light Sky Blue),#EFF9DC
Seafoam Greenish-Yellow,#B8C643
Green Sea,#28F6C4
Green-yellow (B8D81D),#B8D81D
Maroon,#D21209
Dark Sienna,#584738
Plum Wine,#BF8586
Dark Plum Wine,#6D4D74
Dark Saddle Brown,#846745
Sage Green #D4E376,#D4E376
Lime Green,#6BEE11
Burnt Sienna,#AA3140
Seafoam Green,#5BCC68
Dusky Rose,#EDA799
Lime Green,#1CE504
Lime Green,#DFFBB7
Sea Green,#4BB38B
Plum Lilac,#D9B2DF
Medium Purple-Blue,#7F3FCB
Medium Purple-Magenta,#BE5FDA
DEBF31 (Golden Yellow),#DEBF31
Golden Beige,#9E9855
ACA5D4 (Hexadecimal),#ACA5D4
Fiery Orange,#F1638A
Golden Rod,#9E8119
Indigo (Deep),#3723BC
Fe9186 (#FE9186),#FE9186
Deep Purple Wine,#9C4897
Maroon,#5B1430
Indigo Violet,#B382F1
Fuchsia Magenta,#FB5EF4
Greenish Yellow,#86B64D
Sage Green (Leaf Green),#23B356
Teal Sapphire,#69A8A0
Lavender Purple,#BB6DB1
Fawn Orange,#FA8A40
Sapphire Blue,#5F90BB
Sage Green,#C7DB68
Plum Magenta,#D888EE
Green Olive,#389D44
Magenta Purple,#BA11C0
Burgundy Red,#9E1F2F
Indigo (Dark),#3D329F
Dark Olive Green,#6F867F
Turquoise Green,#43AF7B
Maroon,#400201
Deep Magenta,#C914F1
Deep Purple,#DE16A8
Greenish Cyan,#7DF847
Green Cyan,#28FAD0
Green (Shades of Yellow-Green),#19ED43
Green (Specifically #4F9F17),#4F9F17
Deep Purple #3F2662,#3F2662
Dark Indigo,#505174
Sea Green (Sage Green),#24E85F
#FFAB24,#FFAB24
Fuchsia Magenta,#D804FA
Light Cobalt Blue,#909BBA
Emerald Green,#48B18A
Indigo (Dark),#09297A
Maroon Deep,#CB0162
Maroonish Red ( approximated as this HEX code does not have an official color name),#B6283C
Fuchsia Magenta,#DF209A
Gold Marigold,#F6E93D
Indigo Purple,#5A4EDF
Amethyst Purple,#AC4B84
Sage Green #B4CB16,#B4CB16
Midnight Blue,#0A0C2F
Greenish Yellow,#91AA06
Seafoam Green,#66B053
Cyan-Blue (or Deep Sapphire),#1A3ED1
Deep Purple,#9123B6
Medium Purple-Blue,#8B7BD8
Aquamarine Blue,#8CF2BC
Light Aqua,#AAEFF5
Sage Green,#C4EE39
Maroon Burnt Sienna,#BD4A3C
Teal Hexadecimal (#1CD2C1),#1CD2C1
Fuchsia Magenta,#FD5052
Sapphire Green,#03C2A0
Medium Cyan (Blue-Purple),#829AF5
Deep Cobalt Blue,#7A70C6
Light Cypress,#E2EFB1
Burnt Sienna,#B46F49
Goldish Yellow,#D0D04A
Cobalt Blue,#0A4BFA
Sapphire Teal,#13B1AC
Burnt Sienna,#905C13
Deep Purple #6801B3,#6801B3
E4FAAB,#E4FAAB
Sage Green,#689F74
Fuchsia Violet,#9715FB
Turquoise Sea,#A2EDC9
Fuchsia Magenta,#F570C2
Indigo Purple (or Deep Lilac),#9655E1
Sage Green,#B3C753
Limegreen-cyan,#08EFBE
Emerald Green,#64C164
Chestnut Brown,#643E10
Emerald Green,#0ADF6B
Deep Indigo,#4838A8
Maroon 59,#5B0135
Lime Green,#A2EA89
Lavender Mauve,#877FBF
Fuchsia Rose,#EC8093
Fuchsia Rose,#F4698E
E29985,#E29985
Aqua Cyan,#1EAEC7
Greenish Teal,#18A639
Green (neon),#1BFFC0
Wistful Magenta,#E64E9E
Purple ( Specifically: Medium Magenta ),#8C23EF
Purple Indigo,#8776BF
Indigo Violet,#701BFD
Dark Purple (Dull Plum),#4D1262
Golden Beige,#E5C996
Dark Purple-Brown (Majenta-Marron Oscuro),#46284B
Sapphire Blue,#136BA4
Honey Amber,#E1AA9A
Deep Purple,#BB5986
Brown-Olive #523330,#523330
Aquamarine Cyan,#3EBFFB
Seafoam Green,#ADDE6F
Lime Green,#2DEC0E
Indigo (Dark),#2D37EE
Lavender Blush,#E6CFE0
Sapphire Blue,#326064
Purple Violet (Deep),#8804F8
Teal Blue (or Aqua Blue),#1A7EEF
Indigo Deep (Dark Indigo),#4028A7
Goldenrod,#EBCC43
Sage Green,#116358
Cobalt Blue,#4689E6
Indigo Deep,#3A1B81
Burnt Sienna,#C58868
Maroon,#B02F4C
Indigo Violet,#7314F3
#055BF1 (Hex code),#055BF1
Sage Green (Olive-Green),#336C0D
Honey Gold,#AB906C
Dark Charcoal Grey,#616269
Maroon-Red (Dark Burgundy),#7E0A47
Green Olive,#3B6B10
Dark Forest Green,#294035
Sage Green,#8EB78E
Magentaish Lilac,#A87E9E
Turquoise (teal),#4DE0DC
Burgundy Maroon,#210634
Indigo (Dark),#45649E
Green Teal,#32CEA7
A2C8DA (Hexadecimal),#A2C8DA
Sapphire Blue,#2E7FA4
Sky Blue (Hex: #75D2F4),#75D2F4
Deep Teal,#375089
Lime Green,#3AE464
Seafoam Green,#C6DCB0
"Greenish Yellow (Harvest Gold, Lime-Green)",#77DF04
Wine Red,#B85282
Seafoam Green,#2EFC76
Teal Blue (Spectrum #5BCDCF),#5BCDCF
Golden Brown,#B37E15
Burnt Sienna,#C29508
Vermillion,#F2214D
#BB34EB (Bright Purple-Pink),#BB34EB
Medium Purple-Lavender,#A57CF4
Dark Salmon,#CE4247
Sapphire Blue,#2891BD
Sage Greenish Yellow,#B0BF57
Light Blue-Grey,#BBC6DD
Teal,#57C0CB
Aquamarine Cyan,#09E8EE
Deep Purple #C113DB,#C113DB
Fuchsia Magenta,#F30DAE
Medium Purple-Blue,#A085EB
Deep Plum,#DC1D87
Plum Purple,#DB9BED
Seafoam Green,#9BD462
Sapphire Teal,#9CBFAE
Fuchsia Magenta,#FB5BF7
Fuchsia Magenta,#D203FE
Deep Cobalt Blue,#414DFC
Deep Indigo,#585892
Lime Green,#50BD58
#953CFA (Magenta Lilac),#953CFA
Silver Ash Gray,#9C9A93
Maroonish Brown (Approximate),#88424F
Green (specifically #029416),#029416
Deep Raspberry,#D62B7B
Green (Bright Sage),#54B903
#FEAB66 (Orange-Red),#FEAB66
#01A110 (Hexadecimal Green),#01A110
Green-cyan (Semi-bright),#4AD994
Sage Green,#43916D
Medium Blue-Purple (#4F1BB9),#4F1BB9
#38770E (Dark Forest Green),#38770E
Aqua Marine,#6FF4CE
Fuchsia Rose,#F7B3EC
Green (7BBA37),#7BBA37
Fuchsia Magenta,#FE56EF
Fuchsia Rose,#FA317F
Bordeaux Maroon,#B4453A
Sage Green (Dark),#246A05
Green-Blue (Sage Green),#418526
Aqua-Teal,#5EDDBA
D6F345 (Hex) or Greenish Yellow,#D6F345
Emerald Green,#407D34
Emerald Greenish,#22AD7F
#2E31DF (Dark Cyan),#2E31DF
Green-Yellowish (Sage Green),#B9BE6B
Burgundy Red,#6F0B1B
Medium Purple #7855AE,#7855AE
Chestnut Brown,#80783D
Deep Purple #1A03E8,#1A03E8
